ExposureType,MaterialType,Time,SampleNo,Silane,YI,L,a,b,Haze,WaterCA,DiiodoCA,SFEtot,SFEpolar,SFEdisp,edge,center,center.1,center.2,edge.1,edge.2,edge.3,DepNo
Cyclic,AZO,0,sa18809,No,5.87,,,,0.5,,,,,,10.401,10.02,9.889,10.179,10.179,9.898,10.188,
Cyclic,AZO,0,sa18810,No,5.3,,,,0.5,,,,,,9.263,9.123,9.137,9.137,9.404,9.282,9.146,
Cyclic,AZO,162,sa18810,No,5.39,,,,0.8,8.8,,84.8,36.1,48.7,9.452,9.335,9.553,9.338,9.648,9.713,9.457,
Cyclic,AZO,162,sa18810,No,,,,,,8.7,,84.8,36.1,48.7,,,,,,,,
Cyclic,AZO,162,sa18810,No,,,,,,7.5,,84.8,36.1,48.7,,,,,,,,
Cyclic,AZO,0,sa18811,No,5.23,,,,0.5,,,,,,10.342,10.22,10.265,10.224,10.333,10.415,10.297,
Cyclic,AZO,162,sa18811,No,5.22,,,,0.8,,11.5,84.8,36.1,48.7,10.759,10.777,10.768,10.922,10.895,11.04,10.904,
Cyclic,AZO,162,sa18811,No,,,,,,,21.8,84.8,36.1,48.7,,,,,,,,
Cyclic,AZO,162,sa18811,No,,,,,,,18.7,84.8,36.1,48.7,,,,,,,,
Cyclic,AZO,162,sa18811,No,,,,,,,13.4,84.8,36.1,48.7,,,,,,,,
Cyclic,AZO,162,sa18811,No,,,,,,,12.6,84.8,36.1,48.7,,,,,,,,
Cyclic,AZO,162,sa18811,No,,,,,,,14.4,84.8,36.1,48.7,,,,,,,,
Cyclic,AZO,162,sa18811,No,,,,,,,13.1,84.8,36.1,48.7,,,,,,,,
Cyclic,AZO,162,sa18811,No,,,,,,,24.1,84.8,36.1,48.7,,,,,,,,
Cyclic,AZO,0,sa18812,No,5.07,,,,0.5,,,,,,9.608,9.49,9.612,9.476,9.794,9.757,9.635,
Cyclic,AZO,331,sa18812,No,5.67,,,,1.3,9.3,,84,35.7,48.3,9.88,10.197,10.328,10.206,10.696,10.573,10.256,
Cyclic,AZO,331,sa18812,No,,,,,,10.4,,84,35.7,48.3,,,,,,,,
Cyclic,AZO,331,sa18812,No,,,,,,17,,84,35.7,48.3,,,,,,,,
Cyclic,AZO,331,sa18812,No,,,,,,10.5,,84,35.7,48.3,,,,,,,,
Cyclic,AZO,331,sa18812,No,,,,,,12.9,,84,35.7,48.3,,,,,,,,
Cyclic,AZO,0,sa18813,No,6.14,,,,0.8,,,,,,9.377,9.096,9.069,9.123,9.25,9.195,9.214,
Cyclic,AZO,331,sa18813,No,6.64,,,,3.4,9.5,,84,35.7,48.3,9.717,9.726,9.857,9.898,9.871,10.029,10.247,
Cyclic,AZO,331,sa18813,No,,,,,,9.2,,84,35.7,48.3,,,,,,,,
Cyclic,AZO,331,sa18813,No,,,,,,12.1,,84,35.7,48.3,,,,,,,,
Cyclic,AZO,331,sa18813,No,,,,,,,25,84,35.7,48.3,,,,,,,,
Cyclic,AZO,331,sa18813,No,,,,,,,18.1,84,35.7,48.3,,,,,,,,
Cyclic,AZO,331,sa18813,No,,,,,,,17.3,84,35.7,48.3,,,,,,,,
Cyclic,AZO,0,sa18814,No,5.18,,,,0.7,,,,,,8.217,8.103,8.126,8.081,8.139,8.294,8.303,
Cyclic,AZO,331,sa18814,No,5.94,,,,1.4,,15.2,84,35.7,48.3,9.114,8.824,8.856,8.973,9.096,9.046,9.05,
Cyclic,AZO,331,sa18814,No,,,,,,,10.9,84,35.7,48.3,,,,,,,,
Cyclic,AZO,331,sa18814,No,,,,,,,11.6,84,35.7,48.3,,,,,,,,
