"","ID","YI","Haze","Step","peak1250","peak1700","peak2900","peak3350","Product.Name","Exposure","Dose"
"1","sa22068.00",1.68,1.4,0,0.0878049819548198,0.248796940160977,0.0454799125103372,0.01245607826973,"9006-PET","baseline",0
"2","sa22070.09",1.62,1.6,0,0.133485152801242,0.292125029196021,0.0460321735798279,0.0157183478959406,"9006-PET","baseline",0
"3","sa22071.00",0.57,2.2,0,0.291534402905262,1,0.158001388417666,0.0444832913872745,"9006-TPU","baseline",0
"4","sa22073.09",0.62,4.4,0,0.339622293325948,0.786246303009762,0.258178404903383,0.0676477076869613,"9006-TPU","baseline",0
"5","sa22074.00",1.69,1.9,0,0.159779437478937,0.334076660553343,0.058418265219482,0.0183844055991207,"9013-PET","baseline",0
"6","sa22076.09",1.68,2,0,0.142977433843743,0.277151700818982,0.0585080153060634,0.018228552388953,"9013-PET","baseline",0
"7","sa22077.00",0.71,4.6,0,0.317681564699438,0.874814889972942,0.17134380460472,0.0493569163090961,"9013-TPU","baseline",0
"8","sa22079.09",0.63,3,0,0.317256944062824,0.896939782079216,0.162972079406494,0.0512297397730185,"9013-TPU","baseline",0
"9","sa22080.00",1.64,1.8,0,0.0874733925835301,0.272393862361235,0.0684017457344018,0.0177237753950272,"9025-PET","baseline",0
"10","sa22082.04",1.66,2.3,0,0.100131065843611,0.269330425188891,0.0633026770816062,0.0182089464117225,"9025-PET","baseline",0
"11","sa22083.00",0.57,1.9,0,0.271276761189151,0.788379692346061,0.195918235537847,0.0517173315427384,"9025-TPU","baseline",0
"12","sa22085.09",0.59,1.6,0,0.244857802591537,0.826675794515214,0.175361313365304,0.0470953359206597,"9025-TPU","baseline",0
"13","sa22086.00",1.82,1.9,0,0.505298644822288,0.510673849854256,0.0297899050594342,0.00813966093698911,"PET","baseline",0
"14","sa22087.14",1.82,1.1,0,0.497023691602313,0.519109816812011,0.0300097194300436,0.00797835822518217,"PET","baseline",0
"15","sa22089.14",0.56,1.2,0,0.408796766346229,0.747375064408179,0.314385627477885,0.0834679821644836,"TPU","baseline",0
"16","sa22079.01",1.17,4.3,1,0.177170171853247,0.414362534285351,0.0532851892420501,0.0214904840427193,"9013-TPU","1x",101.54592
"17","sa22076.01",1.78,4.4,1,0.12752549305448,0.179287986376412,0.0207471545723407,0.0103242414871384,"9013-PET","1x",101.54592
