Rowkey,Sample,Material,Thick,Exposure,Time,Step,Irrad,Pdose,L,a,b,YI,Haze,abs300,abs335,abs345,abs350,abs370,abs400,iad300,iad335,iad345,iad350,iad370,iad400,ftir1716,ftir1409,ftir1341,ftir1251,ftir1093,ftir1017,ftir872,ftir714
sa19601.00-step0,sa19601.00,HydStab,0.0125,Baseline,0,0,NA,NA,94.82,0,0.79,1.5,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58537875,0.18642375,0.20951175,0.62066175,0.58200875,0.39059075,0.40854475,0.8713277
sa19601.01-step0,sa19601.01,HydStab,0.0125,DampHeat,0,0,0,0,95.1,0,0.75,1.42,0.8,71.64737,4.617307,3.333822,3.102395,1.4553907,0.302273804,NA,NA,NA,NA,NA,NA,0.62239082,0.18862682,0.21563882,0.66253482,0.61872582,0.40773782,0.42904382,0.9332078
sa19601.02-step0,sa19601.02,HydStab,0.0125,DampHeat,0,0,0,0,95.1,0,0.73,1.39,1,95.424887,5.440763,4.061444,3.758074,2.0220047,0.647733868,NA,NA,NA,NA,NA,NA,0.60445766,0.18760166,0.21219166,0.64348366,0.60185266,0.39883366,0.41809466,0.9025477
sa19601.03-step0,sa19601.03,HydStab,0.0125,DampHeat,0,0,0,0,95.12,0,0.73,1.38,1.4,91.243338,5.501046,4.118899,3.738013,2.0238721,0.684926709,NA,NA,NA,NA,NA,NA,0.48058365,0.16385164,0.18531565,0.52186564,0.50328765,0.35297864,0.36960164,0.7928086
sa19601.04-step0,sa19601.04,HydStab,0.0125,DampHeat,0,0,0,0,95.09,0,0.74,1.4,0.9,71.741428,4.595147,3.442625,3.088704,1.4725093,0.31175876,NA,NA,NA,NA,NA,NA,0.44832609,0.15646709,0.17670809,0.49143209,0.47709209,0.34150009,0.35767909,0.7703331
sa19601.05-step0,sa19601.05,HydStab,0.0125,DampHeat,0,0,0,0,95.1,0.01,0.75,1.44,0.9,70.539527,4.631772,3.396192,3.122447,1.50409,0.351974928,NA,NA,NA,NA,NA,NA,0.56205006,0.18104406,0.20400306,0.60789806,0.57168006,0.38444106,0.40701906,0.8938311
sa19601.06-step0,sa19601.06,HydStab,0.0125,DampHeat,0,0,0,0,95.08,0.01,0.74,1.42,1.2,71.727657,4.706073,3.483895,3.214951,1.5451512,0.380308835,NA,NA,NA,NA,NA,NA,0.48265451,0.16415351,0.18538451,0.52986351,0.50921151,0.35684551,0.37724651,0.8087385
sa19601.07-step0,sa19601.07,HydStab,0.0125,DampHeat,0,0,0,0,95.07,0.01,0.76,1.44,1.3,80.684934,5.145293,3.886997,3.527443,1.8459808,0.547676018,NA,NA,NA,NA,NA,NA,0.49573309,0.16751609,0.18925709,0.54107709,0.51859409,0.36140009,0.38179809,0.8164141
sa19601.08-step0,sa19601.08,HydStab,0.0125,FreezeThaw,0,0,0,0,95.02,0.02,0.74,1.42,2.4,72.679415,4.688022,3.544215,3.259361,1.602099,0.415144914,NA,NA,NA,NA,NA,NA,0.479442,0.163258,0.183104,0.529046,0.509337,0.355898,0.376693,0.834351
sa19601.09-step0,sa19601.09,HydStab,0.0125,FreezeThaw,0,0,0,0,95.1,0,0.74,1.4,1.8,72.470623,4.720319,3.419785,3.228639,1.6377955,0.429550077,NA,NA,NA,NA,NA,NA,0.73163864,0.20812464,0.23615764,0.75679564,0.68358264,0.43260064,0.45501164,0.9915086
