Sample,Product,Exposure,Step_Retained
sa25000.01,B-Melinex243,1x-RW,1
sa25000.02,B-Melinex243,1x-RW,2
sa25000.03,B-Melinex243,1x-RW,3
sa25000.04,B-Melinex243,1x-RW,4
sa25000.05,B-Melinex243,1x-RW,5
sa25000.06,B-Melinex243,1x-RW,6
sa25000.07,B-Melinex243,1x-RW,7
sa25000.08,B-Melinex243,4x-RW,1
sa25000.09,B-Melinex243,4x-RW,2
sa25000.10,B-Melinex243,4x-RW,3
sa25000.11,B-Melinex243,4x-RW,4
sa25000.12,B-Melinex243,4x-RW,5
sa25000.13,B-Melinex243,4x-RW,6
sa25000.14,B-Melinex243,4x-RW,7
sa25000.15,B-Melinex243,HotQUV,1
sa25000.16,B-Melinex243,HotQUV,2
sa25000.17,B-Melinex243,HotQUV,3
sa25000.18,B-Melinex243,HotQUV,4
sa25000.19,B-Melinex243,HotQUV,5
sa25000.20,B-Melinex243,HotQUV,6
sa25000.21,B-Melinex243,HotQUV,7
sa25000.22,B-Melinex243,HotQUV,8
sa25000.23,B-Melinex243,HotQUV,9
sa25000.24,B-Melinex243,HotQUV,10
sa25000.25,B-Melinex243,CyclicQUV,1
sa25000.26,B-Melinex243,CyclicQUV,2
sa25000.27,B-Melinex243,CyclicQUV,3
sa25000.28,B-Melinex243,CyclicQUV,4
sa25000.29,B-Melinex243,CyclicQUV,5
sa25000.30,B-Melinex243,CyclicQUV,6
sa25000.31,B-Melinex243,CyclicQUV,7
sa25000.32,B-Melinex243,CyclicQUV,8
sa25000.33,B-Melinex243,CyclicQUV,9
sa25000.34,B-Melinex243,CyclicQUV,10
sa25000.35,B-Melinex243,DampHeat1,1
sa25000.36,B-Melinex243,DampHeat1,2
sa25000.37,B-Melinex243,DampHeat1,3
sa25000.38,B-Melinex243,DampHeat1,4
sa25000.39,B-Melinex243,DampHeat1,5
sa25000.40,B-Melinex243,DampHeat1,6
sa25000.41,B-Melinex243,DampHeat1,7
sa25000.42,B-Melinex243,DampHeat1,8
sa25000.43,B-Melinex243,DampHeat1,9
sa25000.44,B-Melinex243,DampHeat1,10
sa25000.45,B-Melinex243,,
sa25000.46,B-Melinex243,,
sa25000.47,B-Melinex243,,
sa25000.48,B-Melinex243,,
sa25000.49,B-Melinex243,,
sa25001.01,B-Melinex243,HumidityFreeze,1
sa25001.02,B-Melinex243,HumidityFreeze,2
sa25001.03,B-Melinex243,HumidityFreeze,3
sa25001.04,B-Melinex243,HumidityFreeze,4
sa25001.05,B-Melinex243,HumidityFreeze,5
sa25001.06,B-Melinex243,HumidityFreeze,6
sa25001.07,B-Melinex243,HumidityFreeze,7
sa25001.08,B-Melinex243,HumidityFreeze,8
sa25001.09,B-Melinex243,HumidityFreeze,9
sa25001.10,B-Melinex243,HumidityFreeze,10
sa25001.11,B-Melinex243,Multifactor,1
sa25001.12,B-Melinex243,Multifactor,2
sa25001.13,B-Melinex243,Multifactor,3
sa25001.14,B-Melinex243,Multifactor,4
sa25001.15,B-Melinex243,Multifactor,5
sa25001.16,B-Melinex243,Multifactor,6
sa25001.17,B-Melinex243,Multifactor,7
sa25001.18,B-Melinex243,Multifactor,8
sa25001.19,B-Melinex243,Multifactor,9
sa25001.20,B-Melinex243,Multifactor,10
sa25001.21,B-Melinex243,,
sa25001.22,B-Melinex243,,
sa25001.23,B-Melinex243,,
sa25001.24,B-Melinex243,,
sa25001.25,B-Melinex243,,
sa25002.01,B-Melinex238,1x-RW,1
sa25002.02,B-Melinex238,1x-RW,2
sa25002.03,B-Melinex238,1x-RW,3
sa25002.04,B-Melinex238,1x-RW,4
sa25002.05,B-Melinex238,1x-RW,5
sa25002.06,B-Melinex238,1x-RW,6
sa25002.07,B-Melinex238,1x-RW,7
sa25002.08,B-Melinex238,4x-RW,1
sa25002.09,B-Melinex238,4x-RW,2
sa25002.10,B-Melinex238,4x-RW,3
sa25002.11,B-Melinex238,4x-RW,4
sa25002.12,B-Melinex238,4x-RW,5
sa25002.13,B-Melinex238,4x-RW,6
sa25002.14,B-Melinex238,4x-RW,7
sa25002.15,B-Melinex238,HotQUV,1
sa25002.16,B-Melinex238,HotQUV,2
sa25002.17,B-Melinex238,HotQUV,3
sa25002.18,B-Melinex238,HotQUV,4
sa25002.19,B-Melinex238,HotQUV,5
sa25002.20,B-Melinex238,HotQUV,6
sa25002.21,B-Melinex238,HotQUV,7
sa25002.22,B-Melinex238,HotQUV,8
sa25002.23,B-Melinex238,HotQUV,9
sa25002.24,B-Melinex238,HotQUV,10
sa25002.25,B-Melinex238,CyclicQUV,1
sa25002.26,B-Melinex238,CyclicQUV,2
sa25002.27,B-Melinex238,CyclicQUV,3
sa25002.28,B-Melinex238,CyclicQUV,4
sa25002.29,B-Melinex238,CyclicQUV,5
sa25002.30,B-Melinex238,CyclicQUV,6
